Top pages,Clicks,Impressions,CTR,Position
https://todayeggrates.com/,737,125526,0.59%,7.01
https://www.todayeggrates.com/,213,59761,0.36%,9.39
https://www.todayeggrates.com/mumbai,104,46557,0.22%,8.54
https://todayeggrates.com/bangalore-egg-rate,81,43437,0.19%,9.52
https://todayeggrates.com/chennai,75,24675,0.3%,9.06
https://todayeggrates.com/siliguri-egg-rate,69,13228,0.52%,6.73
https://www.todayeggrates.com/barwala-egg-rate,59,20372,0.29%,10.23
https://todayeggrates.com/durgapur-egg-rate,56,14344,0.39%,6.62
https://www.todayeggrates.com/patna-egg-rate,53,19748,0.27%,7.43
https://todayeggrates.com/Bhubaneswar,46,15434,0.3%,7.39
https://todayeggrates.com/hyderabad-egg-rate,36,17754,0.2%,10.64
https://www.todayeggrates.com/Bangalore,34,17003,0.2%,14.08
https://todayeggrates.com/kolkata,28,11613,0.24%,10.49
https://todayeggrates.com/hubli-egg-rate,28,5775,0.48%,7.65
https://todayeggrates.com/Asansol,27,9102,0.3%,7.2
https://todayeggrates.com/kochi-egg-rate,27,1994,1.35%,9.7
https://todayeggrates.com/jaipur-egg-rate,20,4564,0.44%,7.33
https://todayeggrates.com/jamshedpur-egg-rate,19,3160,0.6%,7.42
https://todayeggrates.com/chandigarh-egg-rate,18,3409,0.53%,8.65
https://todayeggrates.com/state/Chhattisgarh,16,2054,0.78%,10.58
https://todayeggrates.com/kolkata-egg-rate,15,7823,0.19%,10.69
https://todayeggrates.com/mumbai,15,6316,0.24%,8.74
https://todayeggrates.com/Mumbai,12,12852,0.09%,9.68
https://todayeggrates.com/bhopal-egg-rate,12,3278,0.37%,9.31
https://todayeggrates.com/guwahati-egg-rate,12,2750,0.44%,8.13
https://todayeggrates.com/state/West Bengal,10,13771,0.07%,9.82
https://todayeggrates.com/state/Assam,10,1317,0.76%,8.38
https://todayeggrates.com/gorakhpur-egg-rate,9,3139,0.29%,8.77
https://www.todayeggrates.com/Aligarh,9,1153,0.78%,7.31
https://todayeggrates.com/aurangabad-egg-rate,9,965,0.93%,8.42
https://www.todayeggrates.com/state/Goa,9,882,1.02%,7.58
https://www.todayeggrates.com/agra-egg-rate,8,3085,0.26%,8.43
https://todayeggrates.com/jabalpur-egg-rate,8,2690,0.3%,9.39
https://www.todayeggrates.com/mumbai-egg-rate,8,2508,0.32%,9.72
https://todayeggrates.com/warangal-egg-rate,8,1148,0.7%,16.51
https://www.todayeggrates.com/Bareilly,8,625,1.28%,7.44
https://todayeggrates.com/noida-egg-rate,8,514,1.56%,9.91
https://todayeggrates.com/kanpur-egg-rate,7,3967,0.18%,9.63
https://todayeggrates.com/chennai-egg-rate,7,3742,0.19%,10.22
https://todayeggrates.com/state/Kerala,7,2579,0.27%,9.74
https://todayeggrates.com/Lucknow,6,3586,0.17%,7.69
https://todayeggrates.com/vizag-egg-rate,6,2310,0.26%,10.38
https://todayeggrates.com/madurai-egg-rate,6,2020,0.3%,8.8
https://todayeggrates.com/Ahmedabad,6,1838,0.33%,9.99
https://todayeggrates.com/vadodara-egg-rate,6,1074,0.56%,9.01
https://todayeggrates.com/dehradun-egg-rate,6,693,0.87%,9.31
https://www.todayeggrates.com/Kolkata,5,4100,0.12%,9.08
https://todayeggrates.com/necc-rate-egg-rate,5,2372,0.21%,10.36
https://todayeggrates.com/state/chhattisgarh-egg-rate,5,1223,0.41%,8.61
https://todayeggrates.com/namakkal-egg-rate,5,609,0.82%,26.78
https://www.todayeggrates.com/state/Uttar Pradesh,5,279,1.79%,13.76
https://todayeggrates.com/nagpur-egg-rate,5,270,1.85%,12.16
https://todayeggrates.com/lucknow,4,2891,0.14%,9.27
https://todayeggrates.com/gurgaon-egg-rate,4,2154,0.19%,8.95
https://www.todayeggrates.com/state/Jharkhand,4,1219,0.33%,8.12
https://todayeggrates.com/webstories/pondicherry-egg-rate.html,4,343,1.17%,9.09
https://todayeggrates.com/faridabad-egg-rate,4,313,1.28%,9.1
https://todayeggrates.com/state/Punjab,3,1573,0.19%,13.15
https://todayeggrates.com/Chennai,3,1278,0.23%,9.64
https://www.todayeggrates.com/asansol-egg-rate,3,1054,0.28%,9.73
https://todayeggrates.com/state/odisha-egg-rate,3,925,0.32%,10.47
https://todayeggrates.com/state/uttarakhand-egg-rate,3,560,0.54%,8.39
https://todayeggrates.com/dhanbad-egg-rate,3,525,0.57%,8.18
https://www.todayeggrates.com/state/Puducherry,3,352,0.85%,9.57
https://www.todayeggrates.com/state/Chandigarh,3,307,0.98%,6.66
https://todayeggrates.com/ludhiana-egg-rate,3,223,1.35%,30.03
https://todayeggrates.com/state/chandigarh-egg-rate,3,129,2.33%,7.03
https://todayeggrates.com/srinagar-egg-rate,3,25,12%,13.28
https://todayeggrates.com/vijayawada-egg-rate,2,2446,0.08%,9.78
https://todayeggrates.com/state/kerala-egg-rate,2,1277,0.16%,10.86
https://todayeggrates.com/state/jammu-and-kashmir-egg-rate,2,658,0.3%,9.64
https://todayeggrates.com/rajkot-egg-rate,2,350,0.57%,8.24
https://todayeggrates.com/kota-egg-rate,2,234,0.85%,9.38
https://www.todayeggrates.com/state/Odisha,1,4088,0.02%,9.11
https://todayeggrates.com/patna-egg-rate,1,931,0.11%,10.52
https://todayeggrates.com/amritsar-egg-rate,1,763,0.13%,9.16
https://todayeggrates.com/brahmapur-egg-rate,1,686,0.15%,10.56
https://todayeggrates.com/state/jharkhand-egg-rate,1,651,0.15%,8.55
https://todayeggrates.com/state/Bihar,1,551,0.18%,14.63
https://todayeggrates.com/webstories/barwala-egg-rate.html,1,477,0.21%,27.48
https://todayeggrates.com/webstories/siliguri-egg-rate.html,1,464,0.22%,9.11
https://www.todayeggrates.com/state/Haryana,1,387,0.26%,12.56
https://todayeggrates.com/ghaziabad-egg-rate,1,315,0.32%,9.6
https://todayeggrates.com/gwalior-egg-rate,1,257,0.39%,10.21
https://www.todayeggrates.com/lucknow-egg-rate,1,255,0.39%,14.31
https://todayeggrates.com/state/madhya-pradesh-egg-rate,1,234,0.43%,8.74
https://todayeggrates.com/state/delhi-egg-rate,1,230,0.43%,33.3
https://todayeggrates.com/state/haryana-egg-rate,1,217,0.46%,10.92
https://todayeggrates.com/webstories/kanpur-egg-rate.html,1,169,0.59%,11.95
https://todayeggrates.com/state/maharashtra-egg-rate,1,167,0.6%,16.59
https://todayeggrates.com/delhi-egg-rate,1,111,0.9%,29.63
https://todayeggrates.com/webstories/pune-egg-rate.html,1,99,1.01%,41.74
https://todayeggrates.com/webstory/nagpur-egg-rate,1,81,1.23%,10.9
https://todayeggrates.com/meerut-egg-rate,1,78,1.28%,10
https://todayeggrates.com/e-godavari-egg-rate,1,70,1.43%,8.21
https://www.todayeggrates.com/aligarh-egg-rate,1,64,1.56%,9.44
https://todayeggrates.com/mysore-egg-rate,1,61,1.64%,9.25
https://todayeggrates.com/webstory/warangal-egg-rate,1,47,2.13%,11.79
https://todayeggrates.com/salem-egg-rate,1,39,2.56%,10.51
https://todayeggrates.com/webstory/durgapur-egg-rate,1,38,2.63%,10.34
https://todayeggrates.com/surat-egg-rate,1,35,2.86%,10.4
https://todayeggrates.com/jodhpur-egg-rate,1,34,2.94%,10
https://todayeggrates.com/tiruchirappalli-egg-rate,1,33,3.03%,8.91
https://todayeggrates.com/webstory/pondicherry-egg-rate,1,33,3.03%,9.33
https://todayeggrates.com/imphal-egg-rate,1,31,3.23%,7.48
https://www.todayeggrates.com/Aurangabad,1,31,3.23%,8.35
https://todayeggrates.com/webstory/varanasi-egg-rate,1,28,3.57%,26.39
https://todayeggrates.com/webstory/bareilly-egg-rate,1,27,3.7%,11.3
https://todayeggrates.com/state/Himachal Pradesh,1,27,3.7%,13.7
https://www.todayeggrates.com/state/Rajasthan,1,16,6.25%,8.56
https://todayeggrates.com/panaji-egg-rate,1,14,7.14%,5.14
https://todayeggrates.com/webstory/gwalior-egg-rate,1,14,7.14%,10.86
https://todayeggrates.com/webstory/noida-egg-rate,1,14,7.14%,12.21
https://todayeggrates.com/blog/blog-1,1,9,11.11%,24.78
https://todayeggrates.com/webstory/delhi-egg-rate,1,6,16.67%,24.33
https://todayeggrates.com/webstories/hubli-egg-rate.html,0,919,0%,10.03
https://todayeggrates.com/state/Uttarakhand,0,749,0%,10.4
https://todayeggrates.com/state/himachal-pradesh-egg-rate,0,686,0%,8.7
https://todayeggrates.com/hospet-egg-rate,0,508,0%,10.88
https://todayeggrates.com/webstory/hubli-egg-rate,0,499,0%,8.8
https://todayeggrates.com/state/Jammu and Kashmir,0,487,0%,10.81
https://www.todayeggrates.com/Agra,0,473,0%,8.11
https://todayeggrates.com/webstories/namakkal-egg-rate.html,0,461,0%,31.52
https://todayeggrates.com/ahmedabad-egg-rate,0,387,0%,14.61
